teamNumber,nameShort,location,latitude,longitude
1102,Aiken County Robotics Team M'Aiken Magic,"nan, Aiken, South Carolina",33.5733017,-81.7680515
1108,Panther Robotics,"nan, Paola, Kansas",-23.7051683,-46.3661711
1111,The Power Hawks,"Edgewater, Maryland",38.9358105,-76.55301414304145
1123,AIM Robotics,"Lorton, Virginia",38.700202,-77.23953597604464
1124,UberBots,"Avon, Connecticut",41.8098209,-72.8306541
1126,SPARX,"Webster, New York",43.212285,-77.429994
1127,Lotus Robotics,"Milton, Georgia",34.1135408,-84.2695169
1137,Rocket Sauce,"Mathews, Virginia",37.4481394,-76.331696
1138,Eagle Engineering,"West Hills, California",34.2032325,-118.645476
1143,Cruzin' Comets,"Clarks Summit, Pennsylvania",41.4941161,-75.703413
1148,Wafflebots,"Studio City, California",34.1483989,-118.3961877
